Codificació;denominaci;Departament;membre;c_rrec_en_l_rgan_de_govern_superior;c_rrec_o_lloc_de_treball;SAC.carrec;SAC.codi_d_informaci;rgan_que_designa;SAC;nom_1;Observacions
Consorci del Museu de Ciències Naturals de BarcelonaDepartament de CulturaDirector general de Patrimoni Cultural;Consorci del Museu de Ciències Naturals de Barcelona;CLT - Departament de Cultura;Departament de Cultura;Vocal;Director general de Patrimoni Cultural;director general del Patrimoni Cultural;2284;Conseller/a de Cultura;Direcció General del Patrimoni Cultural;Joaquim Borràs Gómez;
Consorci del Museu de Lleida, Diocesà i ComarcalPersones representants de la Generalitat,designades pel/per la titular del dep. competent en culturaDirector general de Patrimoni Cultural;Consorci del Museu de Lleida, Diocesà i Comarcal;CLT - Departament de Cultura;Persones representants de la Generalitat,designades pel/per la titular del dep. competent en cultura;Vocal;Director general de Patrimoni Cultural;director general del Patrimoni Cultural;2284;Conseller/a de Cultura;Direcció General del Patrimoni Cultural;Joaquim Borràs Gómez;
Consorci del Turó de la Seu Vella de LleidaDepartament de CulturaDirector general de Patrimoni Cultural;Consorci del Turó de la Seu Vella de Lleida;CLT - Departament de Cultura;Departament de Cultura;Vocal;Director general de Patrimoni Cultural;director general del Patrimoni Cultural;2284;Conseller de Cultura;Direcció General del Patrimoni Cultural;Joaquim Borràs Gómez;
Consorci Patrimoni Mundial de la Vall de BoíPersona representant de l'Agència Catalana de Patrimoni CulturalDirector general de Patrimoni Cultural;Consorci Patrimoni Mundial de la Vall de Boí;CLT - Departament de Cultura;Persona representant de l'Agència Catalana de Patrimoni Cultural;Vocal;Director general de Patrimoni Cultural;director general del Patrimoni Cultural;2284;Conseller/a de Cultura;Direcció General del Patrimoni Cultural;Joaquim Borràs Gómez;
Institut Català d'Arqueologia ClàssicaVocal que serà el director general competent en matèria de patrimoni culturalDirector general de Patrimoni Cultural;Institut Català d'Arqueologia Clàssica;REU - Departament de Recerca i Universitats;Vocal que serà el director general competent en matèria de patrimoni cultural;Vocal;Director general de Patrimoni Cultural;director general del Patrimoni Cultural;2284;;Direcció General del Patrimoni Cultural;Joaquim Borràs Gómez;
Consorci Museu Nacional d'Art de CatalunyaVocals nomenats per la Generalitat de CatalunyaDirector general de Patrimoni Cultural;Consorci Museu Nacional d'Art de Catalunya;CLT - Departament de Cultura;Vocals nomenats per la Generalitat de Catalunya;Vocal;Director general de Patrimoni Cultural;director general del Patrimoni Cultural;2284;Conseller/a de Cultura;Direcció General del Patrimoni Cultural;Joaquim Borràs Gómez;
Biblioteca de CatalunyaVocals proposats pel/per la director/a general competent en matèria de patrimoni culturalDirector General de Patrimoni Cultural;Biblioteca de Catalunya;CLT - Departament de Cultura;Vocals proposats pel/per la director/a general competent en matèria de patrimoni cultural;Vocal;Director General de Patrimoni Cultural;director general del Patrimoni Cultural;2284;Consellera de Cultura;Direcció General del Patrimoni Cultural;Joaquim Borràs Gómez;
Fundació Catalana per a la Recerca i la Innovació (FCRi)Patró designat pel/per la titular departament de la Generalitat competent en recerca, innov.i uniDirector de la Unitat de Transformació, Tecnologia i Disrupció d’ACCIÓ;Fundació Catalana per a la Recerca i la Innovació (FCRi);REU - Departament de Recerca i Universitats;Patró designat pel/per la titular departament de la Generalitat competent en recerca, innov.i uni;Vocal;Director de la Unitat de Transformació, Tecnologia i Disrupció d’ACCIÓ;director de la Unitat de Transformació Tecnològica i Disrupció;22093;Departament d'Empresa i Treball;Unitat d'Innovació i Transformació Tecnològica (ACCIÓ);Jordi Aguasca Marsà;
Consorci del Centre de Terminologia TermcatEl/la director/a del termcat, que exerceix les funcions de secretari/ària, amb veu però sense votDirector del Centre de Terminologia Termcat;Consorci del Centre de Terminologia Termcat;PLG - Departament de Política Lingüística;El/la director/a del termcat, que exerceix les funcions de secretari/ària, amb veu però sense vot;Secretari/ària sense dret a vot;Director del Centre de Terminologia Termcat;director del Centre de Terminologia, TERMCAT;2770;;Consorci del Centre de Terminologia Termcat;Jordi Bover Salvadó;
Institut Català d'Energia (ICAEN)Vocals en representació de l’Administració de la GeneralitatDirecció General d’Habitatge;Institut Català d'Energia (ICAEN);TER - Departament de Territori, Habitatge i Transició Ecològica;Vocals en representació de l’Administració de la Generalitat;Vocal;Direcció General d’Habitatge;director general d'Habitatge;23484;Govern de la Generalitat de Catalunya;Direcció General d'Habitatge;Jordi Mas Herrero;
Fundació Privada Institut de Tecnologia de la Construcció de Catalunya (ITeC)Un membre designat per la persona titular del dept. competent en matèria d’habitatgeDirector de Qualitat de l'Edificació i Rehabilitació de l'Habitatge de l'Agència de l'Habitatge de C;Fundació Privada Institut de Tecnologia de la Construcció de Catalunya (ITeC);TER - Departament de Territori, Habitatge i Transició Ecològica;Un membre designat per la persona titular del dept. competent en matèria d’habitatge;Vocal;Director de Qualitat de l'Edificació i Rehabilitació de l'Habitatge de l'Agència de l'Habitatge de C;director de Qualitat de l'Edificació i Rehabilitació de l'Habitatge;14182;Consellera competent en matèria d'habitatge;Direcció de Qualitat de l'Edificació i Rehabilitació de l'Habitatge (Agència de l'Habitatge de Catalunya);Jordi Sanuy Aguilar;
Agència Catalana de l'Aigua (ACA)Representant del departament d’adscripció de l’Agència Catalana de l’AiguaTitular de la Secretaria General del Departament de Territori, Habitatge i Transició Ecològica;Agència Catalana de l'Aigua (ACA);TER - Departament de Territori, Habitatge i Transició Ecològica;Representant del departament d’adscripció de l’Agència Catalana de l’Aigua;Vocal;Titular de la Secretaria General del Departament de Territori, Habitatge i Transició Ecològica;secretari general del Departament de Territori, Habitatge i Transició Ecològica;3399;Consellera de Territori, Habitatge i Transició Ecològica;Secretaria General de Territori, Habitatge i Transició Ecològica;Jordi Terrades Santacreu;
Consorci de l'Observatori del PaisatgeAdministració de la Generalitat de CatalunyaSubdirector general d'Actuacions Urbanístiques;Consorci de l'Observatori del Paisatge;TER - Departament de Territori, Habitatge i Transició Ecològica;Administració de la Generalitat de Catalunya;Membre;Subdirector general d'Actuacions Urbanístiques;subdirector general de Planificació d'Actuacions Urbanístiques;19969;Conseller DVPDT;Subdirecció General de Planificació d'Actuacions Urbanístiques;Josep Armengol Tatjé;
Consorci de l'Habitatge de l'Àrea Metropolitana de BarcelonaMembres designats pel govern a proposta de la persona titular del dep.competent en habitatgeSubdirector General d’Habitatge;Consorci de l'Habitatge de l'Àrea Metropolitana de Barcelona;TER - Departament de Territori, Habitatge i Transició Ecològica;Membres designats pel govern a proposta de la persona titular del dep.competent en habitatge;Vocal;Subdirector General d’Habitatge;subdirector general d'Habitatge;3689;Govern de la Generalitat de Catalunya;Subdirecció General d'Habitatge;Josep Casas Miralles;
Fundació Privada Orfeó Català-Palau de la Música CatalanaDepartament de CulturaSecretari general del Departament de Cultura;Fundació Privada Orfeó Català-Palau de la Música Catalana;CLT - Departament de Cultura;Departament de Cultura;Vocal;Secretari general del Departament de Cultura;secretari general de Cultura;2228;Conseller/a de Cultura;Secretaria General de Cultura;Josep Maria Carreté Nadal;
Consorci Patrimoni Mundial de la Vall de BoíPersona representant de l'Agència Catalana de Patrimoni CulturalSecretari general del Departament de Cultura;Consorci Patrimoni Mundial de la Vall de Boí;CLT - Departament de Cultura;Persona representant de l'Agència Catalana de Patrimoni Cultural;Vicepresident/a segon;Secretari general del Departament de Cultura;secretari general de Cultura;2228;Conseller/a de Cultura;Secretaria General de Cultura;Josep Maria Carreté Nadal;
Consorci de l'Auditori i l'OrquestraVocal designat/da pe la persona titular del Departament de CulturaSecretari general del Departament de Cultura;Consorci de l'Auditori i l'Orquestra;CLT - Departament de Cultura;Vocal designat/da pe la persona titular del Departament de Cultura;Vocal;Secretari general del Departament de Cultura;secretari general de Cultura;2228;Conseller/a de Cultura;Secretaria General de Cultura;Josep Maria Carreté Nadal;
Consorci Museu d'Art Contemporani de BarcelonaVocals designats per la Generalitat de CatalunyaSecretari general del Departament de Cultura;Consorci Museu d'Art Contemporani de Barcelona;CLT - Departament de Cultura;Vocals designats per la Generalitat de Catalunya;Vocal;Secretari general del Departament de Cultura;secretari general de Cultura;2228;Conseller/a de Cultura;Secretaria General de Cultura;Josep Maria Carreté Nadal;
Consorci de l'Institut Ramon LlullRepresentants de l'Administració de la Generalitat de Catalunya designats pel GovernSecretari general del Departament de Cultura;Consorci de l'Institut Ramon Llull;CLT - Departament de Cultura;Representants de l'Administració de la Generalitat de Catalunya designats pel Govern;Vocal;Secretari general del Departament de Cultura;secretari general de Cultura;2228;Govern de la Generalitat de Catalunya;Secretaria General de Cultura;Josep Maria Carreté Nadal;
Consorci Mercat de les FlorsVocal nomenat pel departament de la Generalitat competent en matèria de culturaSecretari general del Departament de Cultura;Consorci Mercat de les Flors;CLT - Departament de Cultura;Vocal nomenat pel departament de la Generalitat competent en matèria de cultura;Vocal;Secretari general del Departament de Cultura;secretari general de Cultura;2228;Conseller/a de Cultura;Secretaria General de Cultura;Josep Maria Carreté Nadal;
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de CatalunyaRepresentants de I'Administració de Ia Generalitat de CatalunyaSecretari general del Departament de cultura;Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya;PRE - Departament de la Presidència;Representants de I'Administració de Ia Generalitat de Catalunya;Vocal;Secretari general del Departament de cultura;secretari general de Cultura;2228;Govern de la Generalitat de Catalunya;Secretaria General de Cultura;Josep Maria Carreté Nadal;
Agència Catalana del Patrimoni CulturalEl vicepresident/a que és la persona titular de la unitat competent en matèria de patri. culturalSecretari general del Departament de Cultura;Agència Catalana del Patrimoni Cultural;CLT - Departament de Cultura;El vicepresident/a que és la persona titular de la unitat competent en matèria de patri. cultural;Vicepresident/a;Secretari general del Departament de Cultura;secretari general de Cultura;2228;Conseller/a de Cultura;Secretaria General de Cultura;Josep Maria Carreté Nadal;
Fundació del Gran Teatre del LiceuPatró designat per l'Administració de la Generalitat de CatalunyaSecretari general del Departament de Cultura;Fundació del Gran Teatre del Liceu;CLT - Departament de Cultura;Patró designat per l'Administració de la Generalitat de Catalunya;Vocal;Secretari general del Departament de Cultura;secretari general de Cultura;2228;Conseller/a de Cultura;Secretaria General de Cultura;Josep Maria Carreté Nadal;
